Device,UnrollLevel,AverageTimeMillis,AverageScore
DESKTOP-S3BHPOS,0,1.233618,21370.58565541197
DESKTOP-S3BHPOS,1,1.0577050000000001,25005.57591426153
DESKTOP-S3BHPOS,3,1.6898499999999999,17174.75859594608
DESKTOP-S3BHPOS,5,5.033600666666667,5928.673013525607
DESKTOP-S3BHPOS,7,7.5265770000000005,4976.323737187414
DESKTOP-S3BHPOS,10,12.463245666666666,4106.729740769049
DESKTOP-S3BHPOS,12,13.992362666666667,3947.4226250606166
DESKTOP-S3BHPOS,15,17.831192333333334,3630.4865161671673
andy,0,2.3561186666666667,12451.008493836322
andy,1,0.9357916666666667,27752.33473798781
andy,3,1.3752889999999998,20644.84696358477
andy,5,5.248196,8692.991832001191
andy,7,10.227343666666668,4405.35295005284
andy,10,15.992067666666665,3762.0744161226835
andy,12,20.493656333333334,3474.3921546048864
andy,15,27.072962,3196.6024262189226
