Timestamp,CPU_Percent,RAM_Used_Percent,Disk_Util_Percent,Mode,Device
2025-06-01T19:13:14.4438988Z,0.00,79.18,0.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:15.4545594Z,14.00,79.21,1.90,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:16.4699697Z,12.66,79.24,9.50,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:17.4901788Z,2.43,79.19,0.60,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:18.5070469Z,6.76,79.17,1.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:19.5313662Z,8.11,79.78,3.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:20.5579899Z,35.51,82.63,3.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:21.5804512Z,18.04,85.67,1.70,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:22.5962354Z,27.52,88.20,1.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:23.6171848Z,28.86,90.82,3.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:24.6332679Z,26.69,93.36,2.50,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:25.6499237Z,32.48,92.82,100.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:26.6635573Z,39.83,93.60,4.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:27.6879181Z,37.15,93.42,3.90,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:28.7039987Z,32.76,94.60,5.80,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:29.733085Z,31.11,95.42,75.90,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:30.7482638Z,33.79,95.64,100.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:31.7674166Z,29.42,90.20,52.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:32.7825696Z,23.45,78.73,75.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:33.7994721Z,10.22,79.58,100.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:34.8104972Z,14.20,79.24,100.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:35.8351861Z,14.04,79.27,1.80,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:36.846562Z,13.30,79.58,4.10,ram,DESKTOP-S3BHPOS
2025-06-04T20:40:29.845047876Z,0.00,78.42,0.00,ram,andy
2025-06-04T20:40:30.848937995Z,1.11,78.42,0.60,ram,andy
2025-06-04T20:40:31.852242738Z,1.11,78.42,0.00,ram,andy
2025-06-04T20:40:32.855852973Z,1.27,78.42,0.00,ram,andy
2025-06-04T20:40:33.859329935Z,1.05,78.42,1.80,ram,andy
2025-06-04T20:40:34.862033372Z,1.44,78.41,0.30,ram,andy
2025-06-04T20:40:35.865407193Z,8.27,78.39,13.50,ram,andy
2025-06-04T20:40:36.868517097Z,11.37,78.47,12.40,ram,andy
2025-06-04T20:40:37.872091365Z,8.44,78.50,10.10,ram,andy
2025-06-04T20:40:38.875433595Z,9.20,78.49,8.00,ram,andy
2025-06-04T20:40:39.878321839Z,9.04,78.49,18.50,ram,andy
2025-06-04T20:40:40.881615148Z,6.99,78.48,14.20,ram,andy
2025-06-04T20:40:41.905758229Z,8.54,78.53,28.10,ram,andy
2025-06-04T20:40:42.910087693Z,7.34,78.53,9.80,ram,andy
2025-06-04T20:40:43.91981915Z,7.82,78.57,23.50,ram,andy
2025-06-04T20:40:44.923153683Z,7.16,78.60,8.50,ram,andy
2025-06-04T20:40:45.926162749Z,7.88,78.62,17.00,ram,andy
2025-06-04T20:40:46.929122893Z,8.04,78.60,16.20,ram,andy
2025-06-04T20:40:47.941596982Z,7.26,78.60,8.70,ram,andy
2025-06-04T20:40:48.944810393Z,7.86,78.55,18.00,ram,andy
2025-06-04T20:40:49.958800334Z,9.72,78.58,22.80,ram,andy
2025-06-04T20:40:50.962024227Z,8.90,78.42,18.40,ram,andy
2025-06-04T20:40:51.966627495Z,8.55,78.49,22.30,ram,andy
2025-06-04T20:40:52.969165746Z,7.58,78.47,14.70,ram,andy
2025-06-04T20:40:53.972043852Z,8.82,78.49,22.40,ram,andy
2025-06-04T20:40:54.976187525Z,9.10,78.55,24.80,ram,andy
2025-06-04T20:40:55.995617427Z,7.43,78.56,10.50,ram,andy
2025-06-04T20:40:56.998558618Z,7.64,78.54,19.10,ram,andy
2025-06-04T20:40:58.00303823Z,8.10,78.49,40.00,ram,andy
2025-06-04T20:40:59.006523735Z,9.23,78.36,55.10,ram,andy
2025-06-04T20:41:00.024072827Z,11.22,78.97,57.30,ram,andy
2025-06-04T20:41:01.029466517Z,8.11,78.71,60.30,ram,andy
2025-06-04T20:41:02.032719355Z,8.61,78.54,51.90,ram,andy
2025-06-04T20:41:03.036364221Z,2.00,78.75,14.20,ram,andy
2025-06-04T20:41:04.039938086Z,1.39,78.76,6.60,ram,andy
2025-06-04T20:41:05.043231142Z,1.55,78.71,13.50,ram,andy
2025-06-04T20:41:06.047041456Z,4.72,78.85,24.70,ram,andy
2025-06-04T20:41:07.049704791Z,12.00,79.14,9.30,ram,andy
2025-06-04T20:41:08.053230077Z,1.39,79.11,5.00,ram,andy
